2026-03-24 05:34:40 | INFO     | src/core/pipeline.py:166 | 菲利普莫里斯(PM) 数据保存成功（来源: YfinanceFetcher，新增 41 条）
2026-03-24 05:34:40 | INFO     | data_provider/yfinance_fetcher.py:727 | [Yfinance] 获取美股 PM 实时行情成功: 价格=163.24000549316406
2026-03-24 05:34:40 | INFO     | data_provider/base.py:970 | [实时行情] 美股 PM 成功获取 (来源: yfinance)
2026-03-24 05:34:40 | INFO     | src/core/pipeline.py:210 | Philip Morris International Inc(PM) 实时行情: 价格=163.24000549316406, 量比=None, 换手率=None% (来源: fallback)
2026-03-24 05:34:40 | WARNING  | data_provider/tushare_fetcher.py:1055 | [Tushare] TushareFetcher 不支持美股 PM 的筹码分布
2026-03-24 05:34:41 | WARNING  | data_provider/base.py:1182 | [筹码分布] PM 所有数据源均失败
2026-03-24 05:34:41 | INFO     | src/core/pipeline.py:284 | Philip Morris International Inc(PM) 趋势分析: 强势空头, 买入信号=观望, 评分=42
2026-03-24 05:34:41 | INFO     | src/core/pipeline.py:305 | Philip Morris International Inc(PM) 开始多维度情报搜索...
2026-03-24 05:34:41 | INFO     | src/search_service.py:1966 | 开始多维度情报搜索: Philip Morris International Inc(PM), 时间范围: 近3天 (profile=short, NEWS_MAX_AGE_DAYS=60), 目标条数=3, provider请求条数=6
2026-03-24 05:34:41 | INFO     | src/search_service.py:1995 | [情报搜索] 最新消息: 使用 Bocha
2026-03-24 05:34:43 | INFO     | src/search_service.py:671 | [Bocha] 搜索完成，query='Philip Morris International Inc PM latest news events'
2026-03-24 05:34:43 | INFO     | src/search_service.py:695 | [Bocha] 成功解析 6 条结果
2026-03-24 05:34:43 | INFO     | src/search_service.py:237 | [Bocha] 搜索 'Philip Morris International Inc PM latest news events' 成功，返回 6 条结果，耗时 1.72s
2026-03-24 05:34:43 | INFO     | src/search_service.py:1720 | [新闻过滤] PM:Bocha:latest_news: provider=Bocha, total=6, kept=1, drop_unknown=0, drop_old=5, drop_future=0, window=[2026-03-22,2026-03-25]
2026-03-24 05:34:43 | INFO     | src/search_service.py:2012 | [情报搜索] 最新消息: 原始=6条, 过滤后=1条
2026-03-24 05:34:43 | INFO     | src/search_service.py:1995 | [情报搜索] 机构分析: 使用 Tavily
2026-03-24 05:34:44 | INFO     | src/search_service.py:299 | [Tavily] 搜索完成，query='Philip Morris International Inc analyst rating target price report', 返回 6 条结果
2026-03-24 05:34:44 | INFO     | src/search_service.py:237 | [Tavily] 搜索 'Philip Morris International Inc analyst rating target price report' 成功，返回 6 条结果，耗时 1.07s
2026-03-24 05:34:44 | INFO     | src/search_service.py:1720 | [新闻过滤] PM:Tavily:market_analysis: provider=Tavily, total=6, kept=0, drop_unknown=6, drop_old=0, drop_future=0, window=[2026-03-22,2026-03-25]
2026-03-24 05:34:44 | INFO     | src/search_service.py:2012 | [情报搜索] 机构分析: 原始=6条, 过滤后=0条
2026-03-24 05:34:45 | INFO     | src/search_service.py:1995 | [情报搜索] 风险排查: 使用 Bocha
2026-03-24 05:34:46 | INFO     | src/search_service.py:671 | [Bocha] 搜索完成，query='Philip Morris International Inc risk insider selling lawsuit litigation'
